"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"DRX",43,9,34,33,383,634,0.6,0.72,-0.7,"-5.1%",42.3,-21.4,-577,"33%","40%","30%",4.6,"46%","44%","36%","0%","26%","22%","49.7%","48.7%",3.48,1.39,1.7
"DWG KIA",43,29,14,32.5,607,508,1.19,0.8,0.39,"4.0%",52.6,14.8,337,"47%","63%","63%",6.3,"62%","42%","55%","17%","67%","76%","49.2%","53.2%",3.81,1.54,1.75
"Fredit BRION",48,20,28,33.2,483,514,0.94,0.63,-0.41,"-1.6%",45.5,-3.8,-542,"50%","44%","38%",2.5,"40%","65%","54%","71%","42%","44%","49.5%","49.6%",4.05,1.67,1.96
"Gen.G",46,27,19,33.7,605,490,1.23,0.7,-0.06,"2.4%",52,6.7,69,"57%","39%","46%",3,"41%","57%","58%","75%","52%","55%","50.7%","50.4%",3.85,1.64,1.94
"Hanwha Life Esports",43,17,26,33.4,495,559,0.89,0.73,0.12,"-2.0%",46.6,-7.1,-137,"51%","47%","47%",2.8,"56%","40%","41%","50%","37%","41%","50.6%","48.6%",3.46,1.53,1.76
"KT Rolster",46,21,25,32.4,547,547,1,0.73,-0.08,"-1.1%",49,-3.4,-30,"46%","43%","33%",2.3,"41%","43%","46%","60%","43%","51%","50.1%","49.5%",3.49,1.64,1.7
"Kwangdong Freecs",46,25,21,35.5,530,489,1.08,0.62,0.26,"-0.8%",53.2,1.2,240,"57%","61%","57%",5.4,"55%","50%","52%","71%","37%","48%","50.4%","48.2%",3.87,1.49,1.98
"Liiv SANDBOX",47,26,21,33.4,514,568,0.9,0.69,0,"-0.4%",53.8,1.6,-3,"53%","57%","66%",3.7,"56%","57%","55%","60%","57%","51%","50.4%","48.7%",3.78,1.61,1.84
"Nongshim RedForce",46,27,19,34.9,589,513,1.15,0.69,-0.23,"1.2%",46.3,12.4,-377,"39%","48%","50%",3.7,"51%","57%","53%","33%","52%","55%","49.3%","51.5%",3.66,1.32,1.88
"T1",44,25,19,34.4,508,453,1.12,0.63,0.74,"3.5%",58.7,-1.9,1064,"68%","59%","73%",7,"53%","43%","47%","67%","52%","52%","50.0%","51.8%",4.17,1.75,1.78
