"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",4,"22.2%","0.0%","22.2%","50%","100%",3,16,33,2.3,"66.7%","23.9%","0%",-118,-109,-1,1.2,"3.2%",97,"5.6%","8.9%",1.56,0.39
"Aphelios","ADC",7,"38.9%","55.6%","94.4%","57%","14%",29,13,30,4.5,"60.2%","16.0%","29%",489,221,10.3,9.5,"30.9%",522,"27.6%","27.8%",0.42,0.44
"Ashe","ADC",6,"33.3%","27.8%","61.1%","67%","50%",15,15,54,4.6,"71.9%","20.5%","17%",-29,-97,-1.5,8.4,"26.8%",439,"21.0%","22.8%",0.85,0.45
"Azir","Middle",4,"22.2%","27.8%","50.0%","75%","25%",13,9,30,4.8,"64.2%","20.0%","0%",317,460,8,8.6,"25.4%",603,"26.7%","22.8%",0.57,0.3
"Braum","Support",5,"27.8%","11.1%","38.9%","80%","60%",0,12,55,4.6,"59.8%","23.1%","0%",-2,176,1.8,1,"2.4%",172,"7.9%","8.1%",1.9,0.32
"Camille","Top",6,"33.3%","11.1%","44.4%","33%","50%",33,16,31,4,"68.8%","14.0%","67%",-194,-39,-6.2,7.6,"26.5%",454,"23.9%","24.8%",0.34,0.29
"Diana","Jungle",8,"44.4%","27.8%","72.2%","38%","38%",20,30,55,2.5,"66.4%","21.3%","25%",-92,29,1.3,6.1,"19.6%",392,"19.2%","19.5%",0.3,0.29
"Ezreal","ADC",2,"11.1%","38.9%","50.0%","50%","50%",9,3,12,7,"70.0%","8.3%","0%",-38,210,-4,9.2,"30.9%",632,"28.4%","26.2%",0.69,0.24
"Gangplank","Top",1,"5.6%","0.0%","5.6%","0%","100%",2,2,6,4,"72.7%","13.3%","100%",940,717,21,9,"27.8%",651,"33.3%","28.5%",0.38,0.12
"Gnar","Top",5,"27.8%","27.8%","55.6%","60%","0%",17,10,26,4.3,"59.7%","12.2%","0%",96,238,2.4,8.3,"28.1%",450,"24.5%","26.4%",0.34,0.34
"Gragas","Top",1,"5.6%","5.6%","11.1%","0%","100%",3,3,5,2.7,"88.9%","21.4%","100%",755,1129,8,7,"20.5%",412,"23.2%","22.9%",0.37,0.21
"Gwen","Top",3,"16.7%","0.0%","16.7%","33%","67%",18,16,11,1.8,"70.7%","29.1%","0%",-246,-182,0.7,7.3,"24.3%",597,"30.8%","23.3%",0.27,0.27
"Irelia","Middle",3,"16.7%","61.1%","83.3%","67%","100%",15,10,12,2.7,"60.0%","29.4%","0%",-313,-619,-8,9,"26.5%",360,"17.8%","24.5%",0.36,0.2
"Irelia","Top",1,"5.6%","61.1%","83.3%","0%","0%",5,6,1,1,"66.7%","25.0%","0%",-119,37,-9,8.3,"26.6%",326,"18.0%","24.8%",0.32,0.26
"Jarvan IV","Jungle",2,"11.1%","0.0%","11.1%","0%","50%",3,6,9,2,"80.0%","15.8%","50%",-142,-394,-7,4.8,"13.6%",202,"14.2%","15.6%",0.54,0.47
"Jayce","Top",3,"16.7%","83.3%","100.0%","100%","0%",18,9,21,4.3,"75.0%","33.3%","67%",483,116,10.7,8.2,"27.9%",737,"34.4%","26.5%",0.5,0.38
"Jinx","ADC",4,"22.2%","0.0%","22.2%","50%","75%",16,14,25,2.9,"62.1%","20.6%","0%",-422,-319,-4.3,9.6,"32.7%",514,"27.6%","27.0%",0.44,0.49
"Kai'Sa","ADC",2,"11.1%","0.0%","11.1%","50%","100%",10,5,16,5.2,"68.4%","17.9%","0%",110,-8,-0.5,8.7,"27.9%",434,"20.0%","24.4%",0.65,0.14
"Kalista","ADC",2,"11.1%","55.6%","66.7%","0%","0%",4,8,6,1.3,"66.7%","20.5%","0%",-731,51,-4.5,8.1,"29.1%",331,"21.5%","23.7%",0.96,0.4
"Kassadin","Middle",2,"11.1%","0.0%","11.1%","50%","100%",6,6,15,3.5,"63.6%","21.4%","0%",-333,-289,-15,7.4,"25.7%",513,"28.4%","23.2%",0.31,0.17
"Kennen","Top",11,"61.1%","22.2%","83.3%","73%","73%",36,34,78,3.4,"62.6%","29.6%","9%",-159,-255,-5.1,7.8,"24.0%",571,"27.4%","21.4%",0.37,0.25
"LeBlanc","Middle",4,"22.2%","22.2%","44.4%","50%","25%",19,8,13,4,"62.7%","13.8%","25%",226,145,0.5,7.9,"25.2%",598,"30.8%","25.1%",0.9,0.4
"Lee Sin","Jungle",3,"16.7%","83.3%","100.0%","33%","0%",6,9,25,3.4,"77.5%","17.3%","0%",-858,-483,-9,5.8,"17.4%",238,"14.1%","18.4%",0.65,0.42
"Leona","Support",10,"55.6%","27.8%","83.3%","60%","10%",9,30,84,3.1,"60.8%","23.4%","20%",-109,-27,0.7,1.3,"3.3%",99,"4.8%","8.9%",1.8,0.49
"Lissandra","-",0,"0%","5.6%","5.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lucian","Middle",1,"5.6%","22.2%","27.8%","0%","100%",1,5,2,0.6,"60.0%","22.7%","0%",-313,-178,1,7.6,"17.8%",331,"24.7%","23.1%",0.48,0.15
"Nautilus","Support",1,"5.6%","0.0%","5.6%","0%","100%",0,6,7,1.2,"50.0%","28.6%","0%",-199,-407,-2,0.9,"1.0%",163,"9.1%","6.9%",1.89,0.25
"Nidalee","Jungle",5,"27.8%","0.0%","27.8%","60%","40%",17,13,32,3.8,"72.1%","20.6%","60%",403,327,7.6,6.5,"18.9%",416,"22.7%","20.0%",0.36,0.68
"Olaf","Jungle",2,"11.1%","0.0%","11.1%","100%","100%",12,4,12,6,"58.5%","17.4%","50%",439,472,4,5.9,"16.8%",451,"21.7%","20.6%",0.4,0.71
"Orianna","Middle",1,"5.6%","5.6%","11.1%","100%","100%",1,2,6,3.5,"77.8%","18.2%","0%",185,132,13,9.5,"27.7%",518,"25.6%","23.8%",0.6,0.3
"Ornn","-",0,"0%","5.6%","5.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
