"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",2,"16.7%","8.3%","25.0%","0%","100%",1,11,7,0.7,"47.1%","32.4%","0%",-279,-257,-4,1.1,"2.8%",84,"5.3%","7.4%",1.54,0.43
"Aphelios","ADC",7,"58.3%","33.3%","91.7%","57%","43%",23,16,24,2.9,"51.1%","21.3%","14%",-203,-97,-6.3,9.1,"29.3%",442,"24.4%","24.8%",0.48,0.31
"Ashe","ADC",1,"8.3%","66.7%","75.0%","100%","0%",5,1,11,16,"69.6%","20.0%","100%",983,334,36,9.3,"25.2%",700,"32.2%","24.2%",0.85,0.35
"Azir","Middle",12,"100.0%","0.0%","100.0%","42%","25%",32,24,50,3.4,"68.3%","13.5%","8%",-189,-62,-0.7,9.4,"29.4%",495,"26.4%","25.8%",0.49,0.32
"Braum","Support",4,"33.3%","41.7%","75.0%","75%","75%",1,4,41,10.5,"68.9%","14.3%","0%",39,161,6.8,1.2,"2.0%",136,"6.7%","8.5%",1.74,0.34
"Camille","Top",6,"50.0%","50.0%","100.0%","83%","33%",24,11,30,4.9,"52.9%","29.7%","0%",-586,-248,-23.5,7.5,"23.8%",350,"17.0%","20.2%",0.42,0.24
"Diana","-",0,"0%","8.3%","8.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",6,"50.0%","8.3%","58.3%","33%","100%",18,17,23,2.4,"65.1%","17.3%","17%",-288,-149,-12.3,9.1,"31.0%",494,"25.3%","25.2%",0.48,0.31
"Galio","Middle",1,"8.3%","0.0%","8.3%","100%","100%",8,0,8,16,"69.6%","0.0%","100%",620,419,15,10.6,"30.0%",496,"22.8%","26.7%",0.44,0.25
"Gnar","Top",2,"16.7%","41.7%","58.3%","0%","100%",1,8,1,0.3,"25.0%","25.0%","0%",-574,-159,-13.5,7.7,"25.5%",280,"17.5%","21.1%",0.38,0.3
"Irelia","Middle",1,"8.3%","50.0%","75.0%","0%","0%",3,5,4,1.4,"87.5%","21.7%","0%",-324,-419,-12,6.9,"21.2%",297,"14.0%","20.7%",0.23,0.23
"Irelia","Top",2,"16.7%","50.0%","75.0%","100%","100%",10,7,12,3.1,"56.4%","35.0%","50%",-511,-452,-8.5,8.9,"27.5%",397,"19.9%","23.9%",0.41,0.24
"Jax","Top",1,"8.3%","0.0%","8.3%","0%","100%",0,8,1,0.1,"20.0%","34.8%","0%",165,295,5,8,"23.8%",402,"23.4%","21.9%",0.38,0.19
"Jayce","Top",1,"8.3%","83.3%","91.7%","0%","0%",0,9,3,0.3,"37.5%","36.0%","0%",650,363,26,7.9,"25.6%",585,"24.6%","20.8%",0.36,0.34
"Jinx","ADC",1,"8.3%","0.0%","8.3%","100%","100%",4,0,6,10,"83.3%","0.0%","0%",32,100,0,11.5,"34.7%",507,"29.0%","28.4%",0.47,0.47
"Kalista","-",0,"0%","66.7%","66.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Karma","Support",1,"8.3%","0.0%","8.3%","0%","100%",0,3,4,1.3,"100.0%","15.0%","0%",-50,200,-10,0.7,"3.3%",147,"8.2%","7.5%",1.36,0.46
"Kassadin","Middle",1,"8.3%","0.0%","8.3%","100%","100%",7,0,5,12,"60.0%","0.0%","0%",-649,-195,-27,8.3,"25.6%",588,"31.2%","24.2%",0.57,0.33
"Kennen","Top",10,"83.3%","0.0%","83.3%","40%","30%",24,29,32,1.9,"56.0%","21.2%","10%",568,317,18.8,8.2,"25.1%",562,"32.4%","24.1%",0.33,0.26
"LeBlanc","Middle",2,"16.7%","83.3%","100.0%","50%","0%",9,1,5,14,"58.3%","6.3%","0%",99,79,5.5,9.4,"27.4%",704,"34.6%","26.4%",0.97,0.72
"Lee Sin","Jungle",3,"25.0%","75.0%","100.0%","67%","0%",8,5,24,6.4,"68.1%","18.5%","33%",95,-137,-9,5.6,"15.5%",251,"14.1%","18.2%",0.63,0.42
"Leona","Support",8,"66.7%","25.0%","91.7%","38%","0%",0,36,43,1.2,"53.1%","26.9%","13%",-106,-148,0.9,1.1,"2.8%",103,"5.2%","7.7%",1.82,0.46
"Lulu","Support",1,"8.3%","0.0%","8.3%","100%","100%",1,0,19,20,"87.0%","0.0%","100%",483,757,-9,0.5,"1.7%",116,"5.3%","11.2%",1.83,0.25
"Nidalee","Jungle",2,"16.7%","8.3%","25.0%","0%","100%",5,6,6,1.8,"84.6%","12.5%","0%",202,381,6,5.9,"15.6%",447,"22.0%","21.9%",0.23,0.62
"Olaf","Jungle",1,"8.3%","0.0%","8.3%","100%","100%",4,1,6,10,"58.8%","25.0%","100%",417,44,1,6,"18.0%",260,"13.2%","18.3%",0.54,0.32
"Orianna","Middle",3,"25.0%","0.0%","25.0%","33%","100%",10,9,22,3.6,"86.5%","23.1%","67%",303,397,6.3,9,"24.5%",523,"31.2%","25.3%",0.48,0.39
"Rakan","Support",4,"33.3%","8.3%","41.7%","100%","75%",2,1,62,64,"80.0%","3.1%","50%",172,186,0.8,1.3,"3.2%",153,"7.5%","9.6%",1.63,0.54
"Rammus","-",0,"0%","8.3%","8.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Renekton","Top",2,"16.7%","66.7%","83.3%","50%","100%",6,3,9,5,"41.7%","12.5%","50%",-407,-559,-17,7.4,"25.6%",283,"14.2%","21.1%",0.44,0.3
"Ryze","-",0,"0%","100.0%","100.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Samira","ADC",1,"8.3%","0.0%","8.3%","0%","0%",1,3,0,0.3,"25.0%","16.7%","0%",-377,-297,-1,8.8,"26.2%",141,"10.0%","26.7%",0.53,0.11
"Sylas","Middle",1,"8.3%","25.0%","33.3%","100%","100%",7,0,9,16,"84.2%","0.0%","100%",612,33,7,10.8,"29.7%",777,"41.3%","28.4%",0.33,0.51
"Syndra","Middle",1,"8.3%","0.0%","8.3%","0%","100%",0,2,1,0.5,"25.0%","16.7%","0%",-131,-56,-3,10.2,"29.5%",312,"22.3%","25.0%",0.52,0.16
"Thresh","Support",3,"25.0%","8.3%","33.3%","33%","33%",2,12,13,1.3,"53.6%","36.4%","0%",9,-271,0.7,0.9,"1.4%",62,"4.2%","7.8%",1.69,0.3
"Trundle","Jungle",1,"8.3%","8.3%","16.7%","0%","0%",0,3,3,1,"75.0%","25.0%","0%",-142,-257,-2,5.1,"13.5%",102,"7.3%","15.1%",0.29,0.72
"Twisted Fate","Middle",2,"16.7%","25.0%","41.7%","100%","100%",4,1,21,25,"58.1%","8.3%","50%",517,-196,-1,10.2,"30.1%",492,"23.2%","27.4%",0.33,0.25
"Varus","ADC",7,"58.3%","41.7%","100.0%","57%","14%",21,12,48,5.8,"71.9%","16.0%","43%",422,208,12,8.8,"27.4%",696,"35.5%","24.6%",0.74,0.23
"Viego","Jungle",10,"83.3%","8.3%","91.7%","70%","30%",36,20,64,5,"66.7%","20.8%","40%",-79,-124,-1.6,5.8,"15.8%",250,"13.2%","18.8%",0.46,0.48
"Xin Zhao","Jungle",7,"58.3%","0.0%","58.3%","29%","86%",19,24,22,1.7,"61.2%","21.6%","14%",-25,157,4.6,5.3,"14.0%",275,"14.3%","17.7%",0.42,0.49
"Ziggs","ADC",1,"8.3%","33.3%","41.7%","0%","100%",2,4,4,1.5,"75.0%","17.4%","0%",-440,-17,-1,7.8,"28.7%",809,"38.1%","26.3%",0.4,0.14
"Zilean","Support",1,"8.3%","0.0%","8.3%","0%","100%",0,2,2,1,"50.0%","16.7%","0%",103,169,-12,0.5,"1.9%",143,"10.0%","7.9%",1.5,0.38
"Zoe","-",0,"0%","8.3%","8.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
