"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",2,"0.9%","0.9%","1.9%","100%","50%",5,3,14,6.3,"48.7%","17.6%","0%",248,41,11.5,8.8,"28.7%",468,"22.4%","23.0%",0.4,0.4
"Ahri","Middle",50,"23.5%","14.1%","37.6%","46%","22%",142,103,241,3.7,"63.4%","16.7%","18%",47,12,-0.5,8.5,"24.2%",423,"24.6%","22.5%",0.72,0.38
"Akali","Middle",18,"8.5%","39.4%","60.6%","56%","28%",77,40,72,3.7,"64.2%","19.1%","11%",-180,-153,-8.7,8.6,"25.2%",411,"24.9%","24.1%",0.3,0.27
"Akali","Top",27,"12.7%","39.4%","60.6%","52%","56%",102,68,83,2.7,"52.0%","24.3%","22%",-52,88,-5.6,7.8,"23.6%",451,"25.9%","22.1%",0.33,0.19
"Akshan","Top",3,"1.4%","3.8%","5.2%","33%","100%",9,6,6,2.5,"55.6%","15.0%","0%",62,-69,5,9,"26.6%",360,"21.7%","25.1%",0.44,0.27
"Alistar","Support",13,"6.1%","3.8%","9.9%","54%","100%",9,46,137,3.2,"74.1%","29.7%","15%",44,63,-0.2,1,"1.9%",107,"5.6%","8.2%",1.84,0.32
"Aphelios","ADC",108,"50.7%","23.9%","74.6%","48%","37%",417,208,370,3.8,"65.9%","16.8%","19%",-23,-25,-0.1,9.8,"32.4%",456,"26.0%","27.4%",0.49,0.37
"Azir","Middle",13,"6.1%","10.3%","16.4%","54%","77%",41,33,62,3.1,"57.2%","19.5%","23%",11,76,0.2,8.7,"26.5%",499,"26.6%","23.6%",0.44,0.33
"Blitzcrank","Support",2,"0.9%","0.0%","0.9%","0%","100%",0,9,9,1,"45.0%","23.7%","100%",62,258,-0.5,0.9,"1.9%",116,"8.1%","8.1%",2.33,0.31
"Braum","Support",8,"3.8%","0.5%","4.2%","13%","100%",2,24,32,1.4,"63.0%","22.0%","0%",-24,69,-1.4,0.9,"1.6%",118,"7.7%","7.5%",1.78,0.25
