"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",2,"10.0%","5.0%","15.0%","0%","100%",2,6,3,0.8,"45.5%","19.4%","0%",-21,26,7,7.7,"23.7%",304,"20.1%","21.8%",0.34,0.29
"Ahri","Middle",6,"30.0%","15.0%","45.0%","100%","33%",26,6,40,11,"58.9%","12.8%","17%",85,18,1.5,9.1,"27.2%",479,"23.5%","24.1%",0.77,0.49
"Akali","Middle",1,"5.0%","10.0%","35.0%","100%","0%",7,3,3,3.3,"52.6%","30.0%","0%",43,568,5,8.3,"27.5%",555,"22.0%","26.3%",0.26,0.23
"Akali","Top",4,"20.0%","10.0%","35.0%","75%","25%",19,17,22,2.4,"50.0%","32.7%","0%",-271,254,-5.3,6.7,"19.8%",430,"21.0%","20.1%",0.34,0.17
"Akshan","Top",1,"5.0%","0.0%","5.0%","0%","100%",0,5,2,0.4,"50.0%","23.8%","0%",-1239,-878,-14,5.4,"14.3%",251,"17.0%","15.0%",0.5,0.25
"Alistar","Support",1,"5.0%","0.0%","5.0%","100%","100%",0,5,12,2.4,"41.4%","29.4%","0%",-121,-88,1,1,"1.6%",110,"4.8%","7.9%",1.66,0.25
"Aphelios","ADC",3,"15.0%","40.0%","55.0%","0%","67%",10,10,6,1.6,"64.0%","16.9%","33%",89,-93,-2.3,8.9,"35.8%",453,"30.9%","28.7%",0.42,0.3
"Caitlyn","ADC",1,"5.0%","95.0%","100.0%","100%","0%",10,0,2,12,"80.0%","0.0%","0%",50,-196,-6,9.6,"28.8%",553,"28.9%","30.0%",0.53,0.46
"Camille","Top",7,"35.0%","10.0%","45.0%","43%","57%",21,23,36,2.5,"71.3%","24.2%","0%",72,-28,-4,7,"22.1%",368,"22.0%","22.2%",0.37,0.27
"Corki","Middle",4,"20.0%","30.0%","50.0%","50%","75%",15,7,20,5,"67.3%","12.7%","50%",7,117,0.3,10.2,"35.1%",595,"36.0%","30.9%",0.44,0.23
"Diana","Jungle",1,"5.0%","5.0%","10.0%","0%","100%",4,5,7,2.2,"64.7%","17.2%","100%",680,268,19,5.5,"14.8%",502,"19.8%","19.0%",0.28,0.22
"Ezreal","ADC",4,"20.0%","0.0%","20.0%","25%","25%",10,8,16,3.3,"61.9%","13.6%","50%",569,415,12,9.8,"33.1%",504,"29.7%","28.4%",0.47,0.33
"Galio","Middle",2,"10.0%","15.0%","25.0%","0%","100%",2,5,10,2.4,"85.7%","15.6%","0%",-102,146,5,7.2,"19.0%",278,"20.8%","20.7%",0.87,0.37
"Gragas","Top",6,"30.0%","20.0%","50.0%","50%","50%",5,18,36,2.3,"54.7%","23.7%","17%",66,152,1,6.4,"16.1%",350,"20.1%","16.8%",0.43,0.23
